101
# n(H2O), hz[nm], R.H., mu_var, mu_sat(kJ/mol), del{G(n)}(nolinear part of G), G(n)_sat[kJ/mol]
0.000154, 0.980071, 0.000000, -45.947418, -44.500000, 4.635602, 185.013224
0.041730, 0.999379, 0.220916, -3.766389, -44.500000, 4.485172, 183.163092
0.083306, 1.018687, 0.248793, -3.469959, -44.500000, 4.343436, 181.312959
0.124882, 1.037995, 0.261235, -3.348239, -44.500000, 4.206567, 179.462827
0.166458, 1.057302, 0.273280, -3.235801, -44.500000, 4.073363, 177.612695
0.208034, 1.076610, 0.280369, -3.171926, -44.500000, 3.942782, 175.762563
0.249610, 1.095918, 0.287457, -3.109646, -44.500000, 3.814779, 173.912430
0.291186, 1.112422, 0.294666, -3.047864, -44.500000, 3.689407, 172.062298
0.332762, 1.128900, 0.302416, -2.983109, -44.500000, 3.568827, 170.212166
0.374338, 1.145378, 0.323194, -2.817362, -44.500000, 3.454347, 168.362034
0.415914, 1.161856, 0.340171, -2.689666, -44.500000, 3.345245, 166.511901
0.457490, 1.178334, 0.358517, -2.558644, -44.500000, 3.241552, 164.661769
0.499066, 1.194812, 0.377570, -2.429485, -44.500000, 3.142080, 162.811637
0.540642, 1.202319, 0.388928, -2.355555, -44.500000, 3.047653, 160.961505
0.582218, 1.209620, 0.416148, -2.186822, -44.500000, 2.960316, 159.111372
0.623794, 1.216922, 0.445915, -2.014498, -44.500000, 2.879510, 157.261240
0.665370, 1.224223, 0.472001, -1.872683, -44.500000, 2.805344, 155.411108
0.706946, 1.231524, 0.506847, -1.695016, -44.500000, 2.737985, 153.560976
0.748522, 1.238825, 0.538207, -1.545273, -44.500000, 2.674211, 151.710844
0.790098, 1.240370, 0.543130, -1.522559, -44.500000, 2.611313, 149.860711
0.831674, 1.241702, 0.547377, -1.503131, -44.500000, 2.549220, 148.010579
0.873250, 1.243034, 0.551624, -1.483853, -44.500000, 2.487925, 146.160447
0.914826, 1.244366, 0.555871, -1.464723, -44.500000, 2.427422, 144.310315
0.956402, 1.245698, 0.560118, -1.445738, -44.500000, 2.367777, 142.460182
0.997978, 1.247030, 0.565141, -1.423467, -44.500000, 2.309830, 140.610050
1.039554, 1.249857, 0.578765, -1.364051, -44.500000, 2.254357, 138.759918
1.081130, 1.252759, 0.592757, -1.304468, -44.500000, 2.201134, 136.909786
1.122706, 1.255662, 0.604436, -1.255800, -44.500000, 2.149817, 135.059653
1.164282, 1.258565, 0.614945, -1.212803, -44.500000, 2.100272, 133.209521
1.205858, 1.261468, 0.625455, -1.170534, -44.500000, 2.052470, 131.359389
1.247434, 1.264371, 0.635964, -1.128969, -44.500000, 2.006134, 129.509257
1.289010, 1.266422, 0.643391, -1.100010, -44.500000, 1.960979, 127.659124
1.330586, 1.268417, 0.650615, -1.072160, -44.500000, 1.916975, 125.808992
1.372162, 1.270413, 0.657839, -1.044617, -44.500000, 1.874110, 123.958860
1.413738, 1.272408, 0.665063, -1.017375, -44.500000, 1.832116, 122.108728
1.455314, 1.274403, 0.668977, -1.002737, -44.500000, 1.790721, 120.258595
1.496890, 1.276399, 0.672788, -0.988568, -44.500000, 1.749920, 118.408463
1.538466, 1.278439, 0.676684, -0.974165, -44.500000, 1.709716, 116.558331
1.580042, 1.280482, 0.680587, -0.959819, -44.500000, 1.670107, 114.708199
1.621618, 1.282526, 0.684490, -0.945555, -44.500000, 1.631090, 112.858067
1.663194, 1.284569, 0.688393, -0.931373, -44.500000, 1.592660, 111.007934
1.704770, 1.286613, 0.692297, -0.917270, -44.500000, 1.554815, 109.157802
1.746346, 1.288656, 0.696200, -0.903247, -44.500000, 1.517638, 107.307670
1.787922, 1.291314, 0.701275, -0.885130, -44.500000, 1.481005, 105.457538
1.829498, 1.294030, 0.703543, -0.877076, -44.500000, 1.444580, 103.607405
1.871074, 1.296746, 0.704087, -0.875149, -44.500000, 1.408235, 101.757273
1.912650, 1.299463, 0.704631, -0.873222, -44.500000, 1.371970, 99.907141
1.954226, 1.302179, 0.705174, -0.871297, -44.500000, 1.335785, 98.057009
1.995802, 1.304896, 0.705718, -0.869374, -44.500000, 1.299656, 96.206876
2.037378, 1.306016, 0.705943, -0.868581, -44.500000, 1.263558, 94.356744
2.078954, 1.306958, 0.706131, -0.867915, -44.500000, 1.227487, 92.506612
2.120530, 1.307899, 0.706320, -0.867249, -44.500000, 1.191444, 90.656480
2.162106, 1.308841, 0.706508, -0.866584, -44.500000, 1.155429, 88.806347
2.203682, 1.309782, 0.706697, -0.865918, -44.500000, 1.119442, 86.956215
2.245258, 1.310724, 0.706885, -0.865253, -44.500000, 1.083505, 85.106083
2.286834, 1.313244, 0.707390, -0.863472, -44.500000, 1.047645, 83.255951
2.328410, 1.315968, 0.707936, -0.861550, -44.500000, 1.011865, 81.405818
2.369986, 1.318692, 0.708481, -0.859629, -44.500000, 0.976165, 79.555686
2.411562, 1.321417, 0.709027, -0.857709, -44.500000, 0.940545, 77.705554
2.453138, 1.324141, 0.709572, -0.855791, -44.500000, 0.905004, 75.855422
2.494714, 1.326865, 0.710118, -0.853874, -44.500000, 0.869577, 74.005290
2.536290, 1.331864, 0.711119, -0.850360, -44.500000, 0.834300, 72.155157
2.577866, 1.337195, 0.712186, -0.846618, -44.500000, 0.799179, 70.305025
2.619442, 1.342526, 0.713254, -0.842883, -44.500000, 0.764213, 68.454893
2.661018, 1.347857, 0.714321, -0.839152, -44.500000, 0.729401, 66.604761
2.702594, 1.353188, 0.715389, -0.835428, -44.500000, 0.694745, 64.754628
2.744170, 1.358519, 0.716456, -0.831708, -44.500000, 0.660306, 62.904496
2.785746, 1.368166, 0.718388, -0.824992, -44.500000, 0.626155, 61.054364
2.827322, 1.378518, 0.720461, -0.817805, -44.500000, 0.592303, 59.204232
2.868898, 1.388869, 0.722534, -0.810639, -44.500000, 0.558748, 57.354099
2.910474, 1.399221, 0.724606, -0.803493, -44.500000, 0.525490, 55.503967
2.952050, 1.409572, 0.726679, -0.796368, -44.500000, 0.492528, 53.653835
2.993626, 1.419924, 0.728752, -0.789263, -44.500000, 0.459879, 51.803703
3.035202, 1.431549, 0.731080, -0.781308, -44.500000, 0.427564, 49.953570
3.076778, 1.443404, 0.733454, -0.773222, -44.500000, 0.395584, 48.103438
3.118354, 1.455259, 0.735828, -0.765162, -44.500000, 0.364424, 46.253306
3.159930, 1.467114, 0.745149, -0.733763, -44.500000, 0.334767, 44.403174
3.201506, 1.478969, 0.757466, -0.692869, -44.500000, 0.306797, 42.553041
3.243082, 1.490823, 0.769783, -0.652634, -44.500000, 0.280067, 40.702909
3.284658, 1.496619, 0.775805, -0.633198, -44.500000, 0.254263, 38.852777
3.326234, 1.501205, 0.783651, -0.608099, -44.500000, 0.229626, 37.002645
3.367810, 1.505791, 0.793470, -0.577038, -44.500000, 0.206273, 35.152513
3.409386, 1.510377, 0.803290, -0.546358, -44.500000, 0.184188, 33.302380
3.450962, 1.514963, 0.813110, -0.516052, -44.500000, 0.163525, 31.452248
3.492538, 1.519549, 0.825639, -0.477909, -44.500000, 0.144334, 29.602116
3.534114, 1.523158, 0.836507, -0.445291, -44.500000, 0.126450, 27.751984
3.575690, 1.526552, 0.846731, -0.414990, -44.500000, 0.109819, 25.901851
3.617266, 1.529947, 0.856955, -0.385052, -44.500000, 0.094418, 24.051719
3.658842, 1.533342, 0.867063, -0.355800, -44.500000, 0.080223, 22.201587
3.700418, 1.536737, 0.877115, -0.327051, -44.500000, 0.067217, 20.351455
3.741994, 1.540131, 0.887167, -0.298628, -44.500000, 0.055310, 18.501322
3.783570, 1.543091, 0.895930, -0.274110, -44.500000, 0.044406, 16.651190
3.825146, 1.545947, 0.904471, -0.250445, -44.500000, 0.034561, 14.801058
3.866722, 1.548803, 0.914425, -0.223144, -44.500000, 0.025845, 12.950926
3.908298, 1.551659, 0.924379, -0.196139, -44.500000, 0.018246, 11.100793
3.949874, 1.554515, 0.934332, -0.169423, -44.500000, 0.011751, 9.250661
3.991450, 1.557371, 0.944286, -0.142990, -44.500000, 0.006456, 7.400529
4.033026, 1.560191, 0.956199, -0.111719, -44.500000, 0.002637, 5.550397
4.074602, 1.563001, 0.971539, -0.072020, -44.500000, 0.000455, 3.700264
4.116178, 1.565812, 0.986880, -0.032943, -44.500000, -0.000115, 1.850132
4.157754, 1.568622, 1.002220, 0.005532, -44.500000, 0.000000, 0.000000
